symbol,timeframe,rsi_period,oversold,overbought,ema_filter,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor
XAU,1h,7,15,85,True,0.015,0.03,12,8,4,66.67,16.7235,3.6039
XAU,1h,5,30,90,True,0.015,0.03,18,12,6,66.67,25.086,3.6034
XAU,1h,5,30,85,True,0.015,0.03,18,12,6,66.67,25.086,3.6034
XAU,1h,14,15,70,True,0.015,0.03,6,4,2,66.67,8.3625,3.6023
XAU,1h,14,15,80,True,0.015,0.03,3,2,1,66.67,4.1783,3.6004
XAU,1h,14,15,85,True,0.015,0.03,3,2,1,66.67,4.1783,3.6004
XAU,1h,14,15,90,True,0.015,0.03,3,2,1,66.67,4.1783,3.6004
AVAX,5m,14,10,85,True,0.01,0.02,6,4,2,66.67,5.369,3.4283
DOGE,15m,14,20,90,True,0.01,0.02,3,2,1,66.67,2.6825,3.4265
DOGE,15m,14,20,85,True,0.01,0.02,3,2,1,66.67,2.6825,3.4265
SOL,1h,14,20,90,True,0.01,0.02,3,2,1,66.67,2.6825,3.4265
SOL,1h,14,20,80,True,0.01,0.02,3,2,1,66.67,2.6825,3.4265
SOL,1h,14,20,85,True,0.01,0.02,3,2,1,66.67,2.6825,3.4265
XAU,1h,3,20,85,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,3,20,90,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,3,15,85,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,3,10,90,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,5,25,75,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,3,10,85,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,3,15,90,True,0.02,0.04,17,11,6,64.71,30.186,3.3885
XAU,1h,5,30,70,True,0.015,0.03,20,13,7,65.0,26.3748,3.3459
XAU,15m,7,30,85,True,0.02,0.04,28,18,10,64.29,49.026,3.3281
XAU,1h,5,15,80,True,0.02,0.04,14,9,5,64.29,24.511,3.3271
XAU,1h,5,10,80,True,0.02,0.04,14,9,5,64.29,24.511,3.3271
XAU,1h,7,30,90,True,0.015,0.03,17,11,6,64.71,22.1905,3.3036
XAU,1h,7,30,85,True,0.015,0.03,17,11,6,64.71,22.1905,3.3036
XAU,15m,5,30,70,True,0.03,0.06,19,12,7,63.16,48.9845,3.2528
XAU,15m,14,30,90,True,0.02,0.04,11,7,4,63.64,18.828,3.2361
XAU,15m,14,30,85,True,0.03,0.06,8,5,3,62.5,20.1475,3.1633
XAU,15m,14,30,90,True,0.03,0.06,8,5,3,62.5,20.1475,3.1633
XAU,15m,7,30,85,True,0.03,0.06,16,10,6,62.5,40.298,3.1624
