symbol,timeframe,ema_fast,ema_slow,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor,max_drawdown,sharpe,avg_win,avg_loss
SOL,1h,13,34,0.03,0.06,68,19,49,0.2794,-0.402065,0.7358,0.47936,-1.8292,0.058942,-0.03106
AVAX,1h,5,100,0.02,0.04,123,35,88,0.2846,-0.49024,0.7355,0.54709,-2.4733,0.038949,-0.021062
AVAX,15m,5,50,0.02,0.04,190,54,136,0.2842,-0.76112,0.7343,0.82825,-2.9492,0.038947,-0.021061
AVAX,15m,5,50,0.015,0.03,301,87,214,0.289,-0.91885,0.7327,1.067322,-3.7527,0.028945,-0.016061
SOL,15m,21,100,0.015,0.03,270,78,192,0.2889,-0.826215,0.7321,0.932937,-3.5632,0.028945,-0.016062
SOL,1h,5,34,0.015,0.03,215,62,153,0.2884,-0.662802,0.7303,0.766725,-3.3593,0.028942,-0.01606
SOL,1h,5,21,0.015,0.03,222,64,158,0.2883,-0.68526,0.73,0.721565,-3.4183,0.028942,-0.01606
SOL,1h,8,50,0.015,0.03,198,57,141,0.2879,-0.614722,0.7285,0.743415,-3.2484,0.028942,-0.01606
AVAX,5m,8,100,0.02,0.04,223,63,160,0.2825,-0.91614,0.7281,0.94765,-3.2505,0.038946,-0.021061
DOGE,1h,8,50,0.03,0.06,83,23,60,0.2771,-0.5078,0.7275,0.61296,-2.096,0.058954,-0.031062
SOL,1h,13,21,0.015,0.03,209,60,149,0.2871,-0.656412,0.7257,0.707947,-3.3789,0.028942,-0.01606
DOGE,5m,21,100,0.02,0.04,224,63,161,0.2812,-0.93741,0.7235,0.9553,-3.3232,0.038943,-0.021061
AVAX,15m,8,50,0.02,0.04,185,52,133,0.2811,-0.77583,0.723,0.81157,-3.0568,0.038947,-0.021061
SOL,15m,8,100,0.015,0.03,290,83,207,0.2862,-0.922287,0.7226,0.967585,-3.8488,0.028945,-0.016061
AVAX,5m,5,100,0.02,0.04,232,65,167,0.2802,-0.98569,0.7198,1.09828,-3.4374,0.038946,-0.021061
AVAX,1h,13,100,0.03,0.06,51,14,37,0.2745,-0.324015,0.7181,0.40446,-1.7113,0.058949,-0.031062
AVAX,1h,13,100,0.015,0.03,155,44,111,0.2839,-0.509307,0.7143,0.522195,-3.0543,0.028944,-0.016062
