symbol,timeframe,bb_period,bb_std,rsi_confirm,adx_filter,tp_type,sl_pct,trades,win_rate,total_pnl,profit_factor
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,mid_bb,3.0%,114,0.7368421052631579,0.28565603551813135,1.3066031636593378
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,1%,1.5%,144,0.5902777777777778,-0.18757249999998934,0.8020191518612345
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,1%,2.0%,137,0.6277372262773723,-0.30508999999999253,0.7159020011360632
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,1%,3.0%,126,0.746031746031746,-0.15341999999999245,0.8456135407651973
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,2%,1.5%,123,0.3821138211382114,-0.33048999999998985,0.7292175337976307
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,2%,2.0%,114,0.4649122807017544,-0.280859999999994,0.7813519341704791
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,2%,3.0%,98,0.5918367346938775,-0.14386999999999467,0.884185952908034
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,3%,1.5%,110,0.2727272727272727,-0.41679499999999076,0.6755764852400377
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,3%,2.0%,98,0.336734693877551,-0.4139349999999951,0.6975905726955955
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,3%,3.0%,82,0.5121951219512195,-0.026949999999996043,0.9783060179669668
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,mid_bb,1.5%,234,0.5512820512820513,-0.22574227565509888,0.866125054653329
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,mid_bb,2.0%,205,0.6048780487804878,-0.18610009826181162,0.890898374168658
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,mid_bb,3.0%,169,0.727810650887574,0.2959181212391257,1.207128393008271
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,1%,1.5%,233,0.575107296137339,-0.39192749999998167,0.753482623442677
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,1%,2.0%,216,0.6203703703703703,-0.5288799999999882,0.6937224924716302
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,1%,3.0%,189,0.7407407407407407,-0.270224999999989,0.8224277570600192
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,2%,1.5%,190,0.4421052631578947,-0.11140999999998341,0.9345544048451333
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,2%,2.0%,171,0.4853801169590643,-0.28134999999999055,0.8481864390317653
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,2%,3.0%,143,0.6013986013986014,-0.14150499999999092,0.9200665429577771
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,3%,1.5%,158,0.379746835443038,0.16250500000001414,1.1032521849078636
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,3%,2.0%,138,0.4420289855072464,0.14366500000000643,1.0885962369802147
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<35,3%,3.0%,117,0.5470085470085471,0.20605500000000596,1.1251773125043703
SOL,5m,14,2.0,RSI(14)<25/>75,None,mid_bb,1.5%,171,0.47368421052631576,-0.17885403310168346,0.8762534149055167
SOL,5m,14,2.0,RSI(14)<25/>75,None,mid_bb,2.0%,144,0.5486111111111112,0.05264183723216659,1.038458103923968
SOL,5m,14,2.0,RSI(14)<25/>75,None,mid_bb,3.0%,117,0.6581196581196581,0.6683085855921407,1.5379953515417089
SOL,5m,14,2.0,RSI(14)<25/>75,None,1%,1.5%,192,0.5625,-0.38348499999998475,0.7157254103981211
SOL,5m,14,2.0,RSI(14)<25/>75,None,1%,2.0%,173,0.653179190751445,-0.25337499999999047,0.7994752920320437
SOL,5m,14,2.0,RSI(14)<25/>75,None,1%,3.0%,163,0.7852760736196319,0.057355000000011334,1.0527676447993777
SOL,5m,14,2.0,RSI(14)<25/>75,None,2%,1.5%,173,0.4046242774566474,-0.3282774999999856,0.8015367896995265
SOL,5m,14,2.0,RSI(14)<25/>75,None,2%,2.0%,154,0.487012987012987,-0.24323999999999318,0.8537948776514895
SOL,5m,14,2.0,RSI(14)<25/>75,None,2%,3.0%,136,0.6764705882352942,0.375950000000009,1.2751209302666027
SOL,5m,14,2.0,RSI(14)<25/>75,None,3%,1.5%,155,0.3225806451612903,-0.23923249999998536,0.8581285535318571
SOL,5m,14,2.0,RSI(14)<25/>75,None,3%,2.0%,131,0.3816793893129771,-0.2589099999999953,0.8482222938710933
SOL,5m,14,2.0,RSI(14)<25/>75,None,3%,3.0%,109,0.5137614678899083,-0.025434999999994753,0.984548373281173
SOL,5m,20,1.5,RSI(14)<25/>75,None,2%,3.0%,156,0.6217948717948718,0.0048350000000087975,1.002638738426531
SOL,5m,20,1.5,RSI(14)<25/>75,None,3%,1.5%,187,0.3155080213903743,-0.34812999999998356,0.8306410615034789
SOL,5m,20,1.5,RSI(14)<25/>75,None,3%,2.0%,165,0.34545454545454546,-0.6248749999999934,0.7252547947132871
SOL,5m,20,1.5,RSI(14)<25/>75,None,3%,3.0%,125,0.464,-0.4023949999999935,0.806620355574995
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,mid_bb,1.5%,53,0.4339622641509434,0.0143934976984484,1.0298744244467588
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,mid_bb,2.0%,52,0.5192307692307693,0.0249987414531297,1.0474818922546103
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,mid_bb,3.0%,50,0.68,0.2826229069630711,1.5687722015759136
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,1%,1.5%,58,0.5689655172413793,-0.10646249999999487,0.7348430602168191
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,1%,2.0%,57,0.631578947368421,-0.12036999999999691,0.7278236291690288
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,1%,3.0%,56,0.7678571428571429,-0.019269999999996013,0.9522706725946571
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,2%,1.5%,54,0.3888888888888889,-0.13220249999999603,0.7505483775101596
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,2%,2.0%,53,0.4528301886792453,-0.1561299999999989,0.7443551160087126
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,2%,3.0%,51,0.6274509803921569,0.016095000000001945,1.0272766559616346
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,3%,1.5%,52,0.28846153846153844,-0.16015749999999493,0.7304846085562782
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,3%,2.0%,50,0.34,-0.20299499999999807,0.7079166606713793
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<25,3%,3.0%,48,0.5208333333333334,0.00924000000000312,1.0129351074775885
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<35,mid_bb,1.5%,138,0.4057971014492754,-0.4424932155377253,0.6639785432485401
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<35,mid_bb,2.0%,120,0.4666666666666667,-0.3793783992473732,0.7185119017871331
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<35,mid_bb,3.0%,94,0.6170212765957447,0.0630756409836929,1.0564147512979447
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<35,1%,1.5%,151,0.4966887417218543,-0.5499749999999876,0.5493854977468327
SOL,5m,20,1.5,RSI(14)<25/>75,ADX<35,1%,2.0%,141,0.5460992907801419,-0.6593549999999935,0.5107771413308051
