sweep,symbol,timeframe,sl_pct,rr,tp_pct,max_hold,trail_act,trail_dist,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_dd,sharpe
RR,DOGE,1h,0.015,1.5,0.0225,,,,75,27,48,0.36,-0.1918987499999939,0.02144208333333337,-0.01605906249999989,0.7510508085387987,0.310294999999996,-2.2564479737236867
RR,DOGE,1h,0.015,2.0,0.03,,,,73,23,50,0.3150684931506849,-0.13731999999999248,0.028941956521739216,-0.016059699999999885,0.8289880881959274,0.2502949999999955,-1.4284221982337335
RR,DOGE,1h,0.015,2.5,0.0375,,,,71,20,51,0.28169014084507044,-0.09010999999999329,0.036445625000000065,-0.016059264705882238,0.8899786025414522,0.23103999999999636,-0.8530478112981166
RR,DOGE,1h,0.015,3.0,0.045,,,,69,17,52,0.2463768115942029,-0.08801249999999283,0.04394661764705891,-0.01605971153846142,0.8946090611360331,0.19271999999999853,-0.7831075017868465
RR,DOGE,1h,0.02,1.0,0.02,,,,71,32,39,0.4507042253521127,-0.2151699999999958,0.018940625000000072,-0.021058205128205082,0.7380033362962286,0.4107999999999974,-2.417282201864712
RR,DOGE,1h,0.02,1.5,0.03,,,,65,24,41,0.36923076923076925,-0.16886999999999636,0.02894000000000008,-0.021059268292682884,0.8044195823633686,0.2844999999999975,-1.7091946368624977
RR,DOGE,1h,0.02,2.0,0.04,,,,60,20,40,0.3333333333333333,-0.06343999999999658,0.038942000000000074,-0.021056999999999958,0.9246806287695339,0.26016999999999835,-0.5934366806928064
RR,DOGE,1h,0.02,2.5,0.05,,,,59,15,44,0.2542372881355932,-0.1924549999999958,0.0489416666666668,-0.021058636363636318,0.7922953225841305,0.33183999999999664,-1.6988597501994607
RR,DOGE,1h,0.02,3.0,0.06,,,,57,15,42,0.2631578947368421,-0.0003099999999961328,0.058942000000000126,-0.021058095238095192,0.9996494957261135,0.23164999999999925,-0.0024507619660868564
RR,DOGE,1h,0.03,1.0,0.03,,,,54,22,32,0.4074074074074074,-0.3570599999999976,0.028941363636363706,-0.03105531249999997,0.640701570785999,0.4332649999999982,-3.560638618785685
RR,DOGE,1h,0.03,1.5,0.045,,,,49,17,32,0.3469387755102041,-0.24669249999999768,0.04394397058823537,-0.031054374999999967,0.7517534767645482,0.3936799999999984,-2.2387470827664426
RR,DOGE,1h,0.03,2.0,0.06,,,,49,16,33,0.32653061224489793,-0.08171499999999728,0.058943750000000114,-0.03105499999999996,0.9202636573430356,0.30793499999999824,-0.6272614027707862
RR,DOGE,1h,0.03,2.5,0.075,,,,46,14,32,0.30434782608695654,0.04143500000000171,0.07394535714285717,-0.031056249999999962,1.04169349969813,0.337252499999999,0.2959597198374107
RR,DOGE,1h,0.03,3.0,0.09,,,,38,11,27,0.2894736842105263,0.13984000000000216,0.08894409090909104,-0.031057222222222187,1.1667650513687429,0.2568099999999993,1.073414379166311
TIME,SOL,1h,0.02,2.0,0.04,5.0,,,77,31,46,0.4025974025974026,-0.1334950649969741,0.016323585050082055,-0.013902743511946042,0.7912594281930484,0.15965011809324398,-1.5119293896493498
TIME,SOL,1h,0.02,2.0,0.04,10.0,,,72,32,40,0.4444444444444444,-0.02272741393158275,0.020275961433882553,-0.01678895449539561,0.9661571929064795,0.17522812067084786,-0.23810613037265813
TIME,SOL,1h,0.02,2.0,0.04,20.0,,,65,25,40,0.38461538461538464,-0.06268231211558442,0.028429942104223057,-0.01933577161802901,0.918955507240867,0.3092411846393758,-0.6090503549756558
